slices	iterations	RMSE	overhead	subproblem time	projection time	visible
  1.00000000	 10.00000000	  0.21131997	  0.09300000	 23.17000000	  0.31900000	  1.00000000
  1.00000000	 20.00000000	  0.07211039	  0.02900000	 43.70700000	  0.05800000	  1.00000000
  1.00000000	 30.00000000	  0.05901138	  0.02900000	 67.39400000	  0.06800000	  1.00000000
  1.00000000	 40.00000000	  0.05317933	  0.02400000	 94.30700000	  0.09700000	  1.00000000
  1.00000000	 50.00000000	  0.04810550	  0.02200000	127.96700000	  0.10900000	  1.00000000
  1.00000000	 60.00000000	  0.04329549	  0.02500000	167.68900000	  0.13400000	  1.00000000
  1.00000000	 70.00000000	  0.03853460	  0.02200000	214.20100000	  0.15200000	  1.00000000
  1.00000000	 80.00000000	  0.03389631	  0.02600000	265.74600000	  0.17900000	  1.00000000
  1.00000000	 90.00000000	  0.02946086	  0.02200000	325.83600000	  0.21100000	  1.00000000
  1.00000000	100.00000000	  0.02509246	  0.02200000	396.12600000	  0.24000000	  1.00000000
