slices	iterations	RMSE	overhead	subproblem time	projection time	visible
  1.00000000	 10.00000000	  0.21441118	  0.09700000	 22.25800000	  0.32400000	  1.00000000
  1.00000000	 20.00000000	  0.07214162	  0.02300000	 42.53800000	  0.05500000	  1.00000000
  1.00000000	 30.00000000	  0.05884406	  0.02900000	 68.85100000	  0.07000000	  1.00000000
  1.00000000	 40.00000000	  0.05303045	  0.02500000	 96.23500000	  0.09100000	  1.00000000
  1.00000000	 50.00000000	  0.04800782	  0.02200000	130.08400000	  0.10600000	  1.00000000
  1.00000000	 60.00000000	  0.04317763	  0.02100000	169.44600000	  0.12800000	  1.00000000
  1.00000000	 70.00000000	  0.03845197	  0.02200000	216.03300000	  0.15200000	  1.00000000
  1.00000000	 80.00000000	  0.03382847	  0.02600000	268.41900000	  0.18400000	  1.00000000
  1.00000000	 90.00000000	  0.02938919	  0.02300000	328.37500000	  0.20400000	  1.00000000
  1.00000000	100.00000000	  0.02509642	  0.02200000	394.54200000	  0.23500000	  1.00000000
